# Date: 2025-12-31
# Run Type: vt2
# Speed: 5.5 mph
# VT1 Threshold: 86.0 L/min
# VT2 Threshold: 126.0 L/min
# Intervals: 15
# Interval Duration: 3.0 min
# Recovery Duration: 1.0 min
#
timestamp,elapsed_sec,VE,HR,phase,speed
2025-12-31T13:58:20.946579Z,377.440,61,115,warmup,5.5
2025-12-31T13:58:22.106579Z,378.600,37,118,warmup,5.5
2025-12-31T13:58:23.306579Z,379.800,42,114,warmup,5.5
2025-12-31T13:58:24.266579Z,380.760,194,116,warmup,5.5
2025-12-31T13:58:26.106579Z,382.600,59,115,warmup,5.5
2025-12-31T13:58:27.346579Z,383.840,72,118,warmup,5.5
2025-12-31T13:58:28.826579Z,385.320,59,116,warmup,5.5
2025-12-31T13:58:30.106579Z,386.600,64,114,warmup,5.5
2025-12-31T13:58:31.066579Z,387.560,73,114,warmup,5.5
2025-12-31T13:58:32.346579Z,388.840,71,115,warmup,5.5
2025-12-31T13:58:33.666579Z,390.160,81,116,warmup,5.5
2025-12-31T13:58:35.266579Z,391.760,61,116,warmup,5.5
2025-12-31T13:58:36.746579Z,393.240,63,115,warmup,5.5
2025-12-31T13:58:38.186579Z,394.680,74,117,warmup,5.5
2025-12-31T13:58:39.546579Z,396.040,81,117,warmup,5.5
2025-12-31T13:58:40.586579Z,397.080,81,117,warmup,5.5
2025-12-31T13:58:41.986579Z,398.480,90,117,warmup,5.5
2025-12-31T13:58:43.546579Z,400.040,57,115,warmup,5.5
2025-12-31T13:58:44.826579Z,401.320,66,115,warmup,5.5
2025-12-31T13:58:45.866579Z,402.360,81,118,warmup,5.5
2025-12-31T13:58:47.066579Z,403.560,107,115,warmup,5.5
2025-12-31T13:58:48.746579Z,405.240,62,117,warmup,5.5
2025-12-31T13:58:50.106579Z,406.600,67,118,warmup,5.5
2025-12-31T13:58:51.506579Z,408.000,69,120,warmup,5.5
2025-12-31T13:58:52.546579Z,409.040,70,117,warmup,5.5
2025-12-31T13:58:53.746579Z,410.240,78,117,warmup,5.5
2025-12-31T13:58:54.706579Z,411.200,92,120,warmup,5.5
2025-12-31T13:58:56.066579Z,412.560,64,119,warmup,5.5
2025-12-31T13:58:57.306579Z,413.800,83,119,warmup,5.5
2025-12-31T13:58:58.586579Z,415.080,83,118,warmup,5.5
2025-12-31T13:58:59.906579Z,416.400,77,117,warmup,5.5
2025-12-31T13:59:01.226579Z,417.720,75,116,warmup,5.5
2025-12-31T13:59:02.146579Z,418.640,80,119,warmup,5.5
2025-12-31T13:59:03.386579Z,419.880,80,118,warmup,5.5
2025-12-31T13:59:04.346579Z,420.840,86,120,warmup,5.5
2025-12-31T13:59:05.586579Z,422.080,80,117,warmup,5.5
2025-12-31T13:59:06.666579Z,423.160,73,118,warmup,5.5
2025-12-31T13:59:08.026579Z,424.520,177,118,warmup,5.5
2025-12-31T13:59:10.426579Z,426.920,111,118,warmup,5.5
2025-12-31T13:59:11.866579Z,428.360,41,119,warmup,5.5
2025-12-31T13:59:14.266579Z,430.760,42,118,warmup,5.5
2025-12-31T13:59:15.586579Z,432.080,52,120,warmup,5.5
2025-12-31T13:59:16.866579Z,433.360,91,118,warmup,5.5
2025-12-31T13:59:17.826579Z,434.320,105,119,warmup,5.5
2025-12-31T13:59:19.186579Z,435.680,97,116,warmup,5.5
2025-12-31T13:59:20.026579Z,436.520,113,118,warmup,5.5
2025-12-31T13:59:21.226579Z,437.720,94,118,warmup,5.5
2025-12-31T13:59:22.266579Z,438.760,101,118,warmup,5.5
2025-12-31T13:59:23.506579Z,440.000,99,116,warmup,5.5
2025-12-31T13:59:24.986579Z,441.480,59,118,warmup,5.5
2025-12-31T13:59:26.386579Z,442.880,59,118,warmup,5.5
2025-12-31T13:59:27.866579Z,444.360,67,117,warmup,5.5
2025-12-31T13:59:29.506579Z,446.000,70,117,warmup,5.5
2025-12-31T13:59:31.426579Z,447.920,53,116,warmup,5.5
2025-12-31T13:59:33.226579Z,449.720,57,117,warmup,5.5
2025-12-31T13:59:34.786579Z,451.280,60,116,warmup,5.5
2025-12-31T13:59:36.226579Z,452.720,60,116,warmup,5.5
2025-12-31T13:59:37.706579Z,454.200,86,115,warmup,5.5
2025-12-31T13:59:39.506579Z,456.000,59,114,warmup,5.5
2025-12-31T13:59:41.266579Z,457.760,67,114,warmup,5.5
2025-12-31T13:59:42.986579Z,459.480,79,114,warmup,5.5
2025-12-31T13:59:45.106579Z,461.600,55,114,warmup,5.5
2025-12-31T13:59:46.666579Z,463.160,60,109,warmup,5.5
2025-12-31T13:59:48.106579Z,464.600,76,111,warmup,5.5
2025-12-31T13:59:49.626579Z,466.120,67,108,warmup,5.5
2025-12-31T13:59:51.146579Z,467.640,65,109,warmup,5.5
2025-12-31T13:59:52.546579Z,469.040,82,111,warmup,5.5
2025-12-31T13:59:54.066579Z,470.560,82,111,warmup,5.5
2025-12-31T13:59:55.546579Z,472.040,80,110,warmup,5.5
2025-12-31T13:59:57.066579Z,473.560,73,111,warmup,5.5
2025-12-31T13:59:58.546579Z,475.040,69,112,warmup,5.5
2025-12-31T13:59:59.906579Z,476.400,62,113,warmup,5.5
2025-12-31T14:00:01.226579Z,477.720,83,114,warmup,5.5
2025-12-31T14:00:02.786579Z,479.280,73,117,warmup,5.5
2025-12-31T14:00:04.386579Z,480.880,77,116,warmup,5.5
2025-12-31T14:00:05.986579Z,482.480,57,116,warmup,5.5
2025-12-31T14:00:07.386579Z,483.880,73,117,warmup,5.5
2025-12-31T14:00:08.866579Z,485.360,70,116,warmup,5.5
2025-12-31T14:00:10.306579Z,486.800,94,117,warmup,5.5
2025-12-31T14:00:12.106579Z,488.600,63,118,warmup,5.5
2025-12-31T14:00:13.586579Z,490.080,70,115,warmup,5.5
2025-12-31T14:00:15.026579Z,491.520,82,115,warmup,5.5
2025-12-31T14:00:16.386579Z,492.880,80,116,warmup,5.5
2025-12-31T14:00:17.906579Z,494.400,81,115,warmup,5.5
2025-12-31T14:00:19.386579Z,495.880,117,118,warmup,5.5
2025-12-31T14:00:21.066579Z,497.560,75,116,warmup,5.5
2025-12-31T14:00:22.426579Z,498.920,60,119,warmup,5.5
2025-12-31T14:00:23.666579Z,500.160,73,117,warmup,5.5
2025-12-31T14:00:25.106579Z,501.600,66,115,warmup,5.5
2025-12-31T14:00:26.546579Z,503.040,62,115,warmup,5.5
2025-12-31T14:00:28.066579Z,504.560,62,117,warmup,5.5
2025-12-31T14:00:29.626579Z,506.120,129,116,warmup,5.5
2025-12-31T14:00:31.866579Z,508.360,96,117,warmup,5.5
2025-12-31T14:00:33.346579Z,509.840,55,116,warmup,5.5
